"rgn_id","product","year","gap_fill"
1,"corals",2011,0
2,"corals",2011,0
3,"corals",2011,0
4,"corals",2011,0
5,"corals",2011,0
6,"corals",2011,0
7,"corals",2011,0
8,"corals",2011,0
9,"corals",2011,0
1,"corals",2012,0
2,"corals",2012,0
3,"corals",2012,0
4,"corals",2012,0
5,"corals",2012,0
6,"corals",2012,0
7,"corals",2012,0
8,"corals",2012,0
9,"corals",2012,0
1,"corals",2013,0
2,"corals",2013,0
3,"corals",2013,0
4,"corals",2013,0
5,"corals",2013,0
6,"corals",2013,0
7,"corals",2013,0
8,"corals",2013,0
9,"corals",2013,0
1,"corals",2014,0
2,"corals",2014,0
3,"corals",2014,0
4,"corals",2014,0
5,"corals",2014,0
6,"corals",2014,0
7,"corals",2014,0
8,"corals",2014,0
9,"corals",2014,0
1,"corals",2015,0
2,"corals",2015,0
3,"corals",2015,0
4,"corals",2015,0
5,"corals",2015,0
6,"corals",2015,0
7,"corals",2015,0
8,"corals",2015,0
9,"corals",2015,0
1,"corals",2016,0
2,"corals",2016,0
3,"corals",2016,0
4,"corals",2016,0
5,"corals",2016,0
6,"corals",2016,0
7,"corals",2016,0
8,"corals",2016,0
9,"corals",2016,0
1,"corals",2017,0
2,"corals",2017,0
3,"corals",2017,0
4,"corals",2017,0
5,"corals",2017,0
6,"corals",2017,0
7,"corals",2017,0
8,"corals",2017,0
9,"corals",2017,0
1,"seaweeds",2000,0
2,"seaweeds",2000,0
3,"seaweeds",2000,0
4,"seaweeds",2000,0
5,"seaweeds",2000,0
6,"seaweeds",2000,0
7,"seaweeds",2000,0
8,"seaweeds",2000,0
9,"seaweeds",2000,0
1,"seaweeds",2001,0
2,"seaweeds",2001,0
3,"seaweeds",2001,0
4,"seaweeds",2001,0
5,"seaweeds",2001,0
6,"seaweeds",2001,0
7,"seaweeds",2001,0
8,"seaweeds",2001,0
9,"seaweeds",2001,0
1,"seaweeds",2002,0
2,"seaweeds",2002,0
3,"seaweeds",2002,0
4,"seaweeds",2002,0
5,"seaweeds",2002,0
6,"seaweeds",2002,0
7,"seaweeds",2002,0
8,"seaweeds",2002,0
9,"seaweeds",2002,0
1,"seaweeds",2003,0
2,"seaweeds",2003,0
3,"seaweeds",2003,0
4,"seaweeds",2003,0
5,"seaweeds",2003,0
6,"seaweeds",2003,0
7,"seaweeds",2003,0
8,"seaweeds",2003,0
9,"seaweeds",2003,0
1,"seaweeds",2004,0
2,"seaweeds",2004,0
3,"seaweeds",2004,0
4,"seaweeds",2004,0
5,"seaweeds",2004,0
6,"seaweeds",2004,0
7,"seaweeds",2004,0
8,"seaweeds",2004,0
9,"seaweeds",2004,0
1,"seaweeds",2005,0
2,"seaweeds",2005,0
3,"seaweeds",2005,0
4,"seaweeds",2005,0
5,"seaweeds",2005,0
6,"seaweeds",2005,0
7,"seaweeds",2005,0
8,"seaweeds",2005,0
9,"seaweeds",2005,0
1,"seaweeds",2006,0
2,"seaweeds",2006,0
3,"seaweeds",2006,0
4,"seaweeds",2006,0
5,"seaweeds",2006,0
6,"seaweeds",2006,0
7,"seaweeds",2006,0
8,"seaweeds",2006,0
9,"seaweeds",2006,0
1,"seaweeds",2007,0
2,"seaweeds",2007,0
3,"seaweeds",2007,0
4,"seaweeds",2007,0
5,"seaweeds",2007,0
6,"seaweeds",2007,0
7,"seaweeds",2007,0
8,"seaweeds",2007,0
9,"seaweeds",2007,0
1,"seaweeds",2008,0
2,"seaweeds",2008,0
3,"seaweeds",2008,0
4,"seaweeds",2008,0
5,"seaweeds",2008,0
6,"seaweeds",2008,0
7,"seaweeds",2008,0
8,"seaweeds",2008,0
9,"seaweeds",2008,0
1,"seaweeds",2009,0
2,"seaweeds",2009,0
3,"seaweeds",2009,0
4,"seaweeds",2009,0
5,"seaweeds",2009,0
6,"seaweeds",2009,0
7,"seaweeds",2009,0
8,"seaweeds",2009,0
9,"seaweeds",2009,0
1,"seaweeds",2010,0
2,"seaweeds",2010,0
3,"seaweeds",2010,0
4,"seaweeds",2010,0
5,"seaweeds",2010,0
6,"seaweeds",2010,0
7,"seaweeds",2010,0
8,"seaweeds",2010,0
9,"seaweeds",2010,0
1,"seaweeds",2011,0
2,"seaweeds",2011,0
3,"seaweeds",2011,0
4,"seaweeds",2011,0
5,"seaweeds",2011,0
6,"seaweeds",2011,0
7,"seaweeds",2011,0
8,"seaweeds",2011,0
9,"seaweeds",2011,0
1,"seaweeds",2012,0
2,"seaweeds",2012,0
3,"seaweeds",2012,0
4,"seaweeds",2012,0
5,"seaweeds",2012,0
6,"seaweeds",2012,0
7,"seaweeds",2012,0
8,"seaweeds",2012,0
9,"seaweeds",2012,0
1,"seaweeds",2013,0
2,"seaweeds",2013,0
3,"seaweeds",2013,0
4,"seaweeds",2013,0
5,"seaweeds",2013,0
6,"seaweeds",2013,0
7,"seaweeds",2013,0
8,"seaweeds",2013,0
9,"seaweeds",2013,0
1,"seaweeds",2014,0
2,"seaweeds",2014,0
3,"seaweeds",2014,0
4,"seaweeds",2014,0
5,"seaweeds",2014,0
6,"seaweeds",2014,0
7,"seaweeds",2014,0
8,"seaweeds",2014,0
9,"seaweeds",2014,0
1,"seaweeds",2015,0
2,"seaweeds",2015,0
3,"seaweeds",2015,0
4,"seaweeds",2015,0
5,"seaweeds",2015,0
6,"seaweeds",2015,0
7,"seaweeds",2015,0
8,"seaweeds",2015,0
9,"seaweeds",2015,0
1,"seaweeds",2016,0
2,"seaweeds",2016,0
3,"seaweeds",2016,0
4,"seaweeds",2016,0
5,"seaweeds",2016,0
6,"seaweeds",2016,0
7,"seaweeds",2016,0
8,"seaweeds",2016,0
9,"seaweeds",2016,0
1,"seaweeds",2017,0
2,"seaweeds",2017,0
3,"seaweeds",2017,0
4,"seaweeds",2017,0
5,"seaweeds",2017,0
6,"seaweeds",2017,0
7,"seaweeds",2017,0
8,"seaweeds",2017,0
9,"seaweeds",2017,0
1,"ornamentals",2000,0
1,"sponges",2000,0
2,"ornamentals",2000,0
2,"sponges",2000,0
3,"ornamentals",2000,0
3,"sponges",2000,0
4,"ornamentals",2000,0
4,"sponges",2000,0
5,"ornamentals",2000,0
5,"sponges",2000,0
6,"ornamentals",2000,0
6,"sponges",2000,0
7,"ornamentals",2000,0
7,"sponges",2000,0
8,"ornamentals",2000,0
8,"sponges",2000,0
9,"ornamentals",2000,0
9,"sponges",2000,0
1,"ornamentals",2001,0
1,"sponges",2001,0
2,"ornamentals",2001,0
2,"sponges",2001,0
3,"ornamentals",2001,0
3,"sponges",2001,0
4,"ornamentals",2001,0
4,"sponges",2001,0
5,"ornamentals",2001,0
5,"sponges",2001,0
6,"ornamentals",2001,0
6,"sponges",2001,0
7,"ornamentals",2001,0
7,"sponges",2001,0
8,"ornamentals",2001,0
8,"sponges",2001,0
9,"ornamentals",2001,0
9,"sponges",2001,0
1,"ornamentals",2002,0
1,"sponges",2002,0
2,"ornamentals",2002,0
2,"sponges",2002,0
3,"ornamentals",2002,0
3,"sponges",2002,0
4,"ornamentals",2002,0
4,"sponges",2002,0
5,"ornamentals",2002,0
5,"sponges",2002,0
6,"ornamentals",2002,0
6,"sponges",2002,0
7,"ornamentals",2002,0
7,"sponges",2002,0
8,"ornamentals",2002,0
8,"sponges",2002,0
9,"ornamentals",2002,0
9,"sponges",2002,0
1,"ornamentals",2003,0
1,"sponges",2003,0
2,"ornamentals",2003,0
2,"sponges",2003,0
3,"ornamentals",2003,0
3,"sponges",2003,0
4,"ornamentals",2003,0
4,"sponges",2003,0
5,"ornamentals",2003,0
5,"sponges",2003,0
6,"ornamentals",2003,0
6,"sponges",2003,0
7,"ornamentals",2003,0
7,"sponges",2003,0
8,"ornamentals",2003,0
8,"sponges",2003,0
9,"ornamentals",2003,0
9,"sponges",2003,0
1,"ornamentals",2004,0
1,"sponges",2004,0
2,"ornamentals",2004,0
2,"sponges",2004,0
3,"ornamentals",2004,0
3,"sponges",2004,0
4,"ornamentals",2004,0
4,"sponges",2004,0
5,"ornamentals",2004,0
5,"sponges",2004,0
6,"ornamentals",2004,0
6,"sponges",2004,0
7,"ornamentals",2004,0
7,"sponges",2004,0
8,"ornamentals",2004,0
8,"sponges",2004,0
9,"ornamentals",2004,0
9,"sponges",2004,0
1,"ornamentals",2005,0
1,"sponges",2005,0
2,"ornamentals",2005,0
2,"sponges",2005,0
3,"ornamentals",2005,0
3,"sponges",2005,0
4,"ornamentals",2005,0
4,"sponges",2005,0
5,"ornamentals",2005,0
5,"sponges",2005,0
6,"ornamentals",2005,0
6,"sponges",2005,0
7,"ornamentals",2005,0
7,"sponges",2005,0
8,"ornamentals",2005,0
8,"sponges",2005,0
9,"ornamentals",2005,0
9,"sponges",2005,0
1,"ornamentals",2006,0
1,"sponges",2006,0
2,"ornamentals",2006,0
2,"sponges",2006,0
3,"ornamentals",2006,0
3,"sponges",2006,0
4,"ornamentals",2006,0
4,"sponges",2006,0
5,"ornamentals",2006,0
5,"sponges",2006,0
6,"ornamentals",2006,0
6,"sponges",2006,0
7,"ornamentals",2006,0
7,"sponges",2006,0
8,"ornamentals",2006,0
8,"sponges",2006,0
9,"ornamentals",2006,0
9,"sponges",2006,0
1,"ornamentals",2007,0
1,"sponges",2007,0
2,"ornamentals",2007,0
2,"sponges",2007,0
3,"ornamentals",2007,0
3,"sponges",2007,0
4,"ornamentals",2007,0
4,"sponges",2007,0
5,"ornamentals",2007,0
5,"sponges",2007,0
6,"ornamentals",2007,0
6,"sponges",2007,0
7,"ornamentals",2007,0
7,"sponges",2007,0
8,"ornamentals",2007,0
8,"sponges",2007,0
9,"ornamentals",2007,0
9,"sponges",2007,0
1,"ornamentals",2008,0
1,"sponges",2008,0
2,"ornamentals",2008,0
2,"sponges",2008,0
3,"ornamentals",2008,0
3,"sponges",2008,0
4,"ornamentals",2008,0
4,"sponges",2008,0
5,"ornamentals",2008,0
5,"sponges",2008,0
6,"ornamentals",2008,0
6,"sponges",2008,0
7,"ornamentals",2008,0
7,"sponges",2008,0
8,"ornamentals",2008,0
8,"sponges",2008,0
9,"ornamentals",2008,0
9,"sponges",2008,0
1,"ornamentals",2009,0
1,"sponges",2009,0
2,"ornamentals",2009,0
2,"sponges",2009,0
3,"ornamentals",2009,0
3,"sponges",2009,0
4,"ornamentals",2009,0
4,"sponges",2009,0
5,"ornamentals",2009,0
5,"sponges",2009,0
6,"ornamentals",2009,0
6,"sponges",2009,0
7,"ornamentals",2009,0
7,"sponges",2009,0
8,"ornamentals",2009,0
8,"sponges",2009,0
9,"ornamentals",2009,0
9,"sponges",2009,0
1,"ornamentals",2010,0
1,"sponges",2010,0
2,"ornamentals",2010,0
2,"sponges",2010,0
3,"ornamentals",2010,0
3,"sponges",2010,0
4,"ornamentals",2010,0
4,"sponges",2010,0
5,"ornamentals",2010,0
5,"sponges",2010,0
6,"ornamentals",2010,0
6,"sponges",2010,0
7,"ornamentals",2010,0
7,"sponges",2010,0
8,"ornamentals",2010,0
8,"sponges",2010,0
9,"ornamentals",2010,0
9,"sponges",2010,0
1,"ornamentals",2011,0
1,"sponges",2011,0
2,"ornamentals",2011,0
2,"sponges",2011,0
3,"ornamentals",2011,0
3,"sponges",2011,0
4,"ornamentals",2011,0
4,"sponges",2011,0
5,"ornamentals",2011,0
5,"sponges",2011,0
6,"ornamentals",2011,0
6,"sponges",2011,0
7,"ornamentals",2011,0
7,"sponges",2011,0
8,"ornamentals",2011,0
8,"sponges",2011,0
9,"ornamentals",2011,0
9,"sponges",2011,0
1,"ornamentals",2012,0
1,"sponges",2012,0
2,"ornamentals",2012,0
2,"sponges",2012,0
3,"ornamentals",2012,0
3,"sponges",2012,0
4,"ornamentals",2012,0
4,"sponges",2012,0
5,"ornamentals",2012,0
5,"sponges",2012,0
6,"ornamentals",2012,0
6,"sponges",2012,0
7,"ornamentals",2012,0
7,"sponges",2012,0
8,"ornamentals",2012,0
8,"sponges",2012,0
9,"ornamentals",2012,0
9,"sponges",2012,0
1,"ornamentals",2013,0
1,"sponges",2013,0
2,"ornamentals",2013,0
2,"sponges",2013,0
3,"ornamentals",2013,0
3,"sponges",2013,0
4,"ornamentals",2013,0
4,"sponges",2013,0
5,"ornamentals",2013,0
5,"sponges",2013,0
6,"ornamentals",2013,0
6,"sponges",2013,0
7,"ornamentals",2013,0
7,"sponges",2013,0
8,"ornamentals",2013,0
8,"sponges",2013,0
9,"ornamentals",2013,0
9,"sponges",2013,0
1,"ornamentals",2014,0
1,"sponges",2014,0
2,"ornamentals",2014,0
2,"sponges",2014,0
3,"ornamentals",2014,0
3,"sponges",2014,0
4,"ornamentals",2014,0
4,"sponges",2014,0
5,"ornamentals",2014,0
5,"sponges",2014,0
6,"ornamentals",2014,0
6,"sponges",2014,0
7,"ornamentals",2014,0
7,"sponges",2014,0
8,"ornamentals",2014,0
8,"sponges",2014,0
9,"ornamentals",2014,0
9,"sponges",2014,0
1,"ornamentals",2015,0
1,"sponges",2015,0
2,"ornamentals",2015,0
2,"sponges",2015,0
3,"ornamentals",2015,0
3,"sponges",2015,0
4,"ornamentals",2015,0
4,"sponges",2015,0
5,"ornamentals",2015,0
5,"sponges",2015,0
6,"ornamentals",2015,0
6,"sponges",2015,0
7,"ornamentals",2015,0
7,"sponges",2015,0
8,"ornamentals",2015,0
8,"sponges",2015,0
9,"ornamentals",2015,0
9,"sponges",2015,0
1,"ornamentals",2016,0
1,"sponges",2016,0
2,"ornamentals",2016,0
2,"sponges",2016,0
3,"ornamentals",2016,0
3,"sponges",2016,0
4,"ornamentals",2016,0
4,"sponges",2016,0
5,"ornamentals",2016,0
5,"sponges",2016,0
6,"ornamentals",2016,0
6,"sponges",2016,0
7,"ornamentals",2016,0
7,"sponges",2016,0
8,"ornamentals",2016,0
8,"sponges",2016,0
9,"ornamentals",2016,0
9,"sponges",2016,0
1,"ornamentals",2017,0
1,"sponges",2017,0
2,"ornamentals",2017,0
2,"sponges",2017,0
3,"ornamentals",2017,0
3,"sponges",2017,0
4,"ornamentals",2017,0
4,"sponges",2017,0
5,"ornamentals",2017,0
5,"sponges",2017,0
6,"ornamentals",2017,0
6,"sponges",2017,0
7,"ornamentals",2017,0
7,"sponges",2017,0
8,"ornamentals",2017,0
8,"sponges",2017,0
9,"ornamentals",2017,0
9,"sponges",2017,0
